,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delivery_cost,delivery_rating,delay_flag
distance_km,1.0,0.0023113678722383024,0.6858833649122615,0.04523617274847154,0.990771690751569,-0.13263419102134025,0.17436462113815093
package_weight_kg,0.0023113678722383024,1.0,0.001241819618324569,0.0014418780713856356,0.09947871252003132,-0.002890614951582447,0.000962124388916953
delivery_time_hours,0.6858833649122615,0.001241819618324569,1.0,0.039755404773175365,0.6789110668010879,-0.2726369187110168,0.35775155927866853
expected_time_hours,0.04523617274847154,0.0014418780713856356,0.039755404773175365,1.0,-0.02548023026736391,0.46287229994445095,-0.5908064607971988
delivery_cost,0.990771690751569,0.09947871252003132,0.6789110668010879,-0.02548023026736391,1.0,-0.16067948704020563,0.21001225650878133
delivery_rating,-0.13263419102134025,-0.002890614951582447,-0.2726369187110168,0.46287229994445095,-0.16067948704020563,1.0,-0.7773456869689274
delay_flag,0.17436462113815093,0.000962124388916953,0.35775155927866853,-0.5908064607971988,0.21001225650878133,-0.7773456869689274,1.0
